
============================================================
 📄 ANALIZANDO: metrics.csv
============================================================

⚠️  VIOLACIONES DETECTADAS EN ESTA EJECUCIÓN:
          Corner  Setup WS (ns)  Setup Vios  Hold WS (ns)  Hold Vios  Slew Vios  Cap Vios
nom_tt_025C_5v00       6.064634           0      2.414689          0          0        60
nom_ss_125C_4v50      -1.026545           1      4.748209          0          0        60
nom_ff_n40C_5v50       9.259005           0      1.316276          0          0        60
min_tt_025C_5v00       6.316533           0      2.420847          0          0        60
min_ss_125C_4v50      -0.570966           1      4.740233          0          0        60
min_ff_n40C_5v50       9.418868           0      1.322095          0          0        60
max_tt_025C_5v00       5.774843           0      2.394469          0          0        60
max_ss_125C_4v50      -1.552933           1      4.739839          0          0        60
max_ff_n40C_5v50       9.073898           0      1.295023          0          0        60
