Metric,Value
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,60
clock__skew__worst_hold__corner:max_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.0
timing__hold__ws__corner:max_tt_025C_5v00,0.5194926857949957
timing__setup__ws__corner:max_tt_025C_5v00,22.57769146657024
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,60
clock__skew__worst_hold__corner:max_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.0
timing__hold__ws__corner:max_ss_125C_4v50,1.230173553398787
timing__setup__ws__corner:max_ss_125C_4v50,10.851120309432488
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,0
design__max_cap_violation__count__corner:max_ff_n40C_5v50,60
clock__skew__worst_hold__corner:max_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.0
timing__hold__ws__corner:max_ff_n40C_5v50,0.14547796712385283
timing__setup__ws__corner:max_ff_n40C_5v50,25.595352339833948
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,60
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,0.14547796712385283
timing__setup__ws,10.851120309432488
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 3932.0 5122.0
design__core__bbox,442.4 442.96 3489.92 4676.56
design__io,58
design__die__area,2.01397E+7
design__core__area,1.2902E+7
design__instance__count__stdcell,73990
design__instance__area__stdcell,831527
design__instance__count__macros,3
design__instance__area__macros,2.00091E+6
design__instance__count__padcells,1118
design__instance__area__padcells,5.271E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.219535
design__instance__utilization__stdcell,0.0762794
design__rows,1443
design__rows:GF018hv5v_mcu_sc7,1443
design__sites,4956792
design__sites:GF018hv5v_mcu_sc7,4956792
design__instance__count__class:macro,3
design__instance__area__class:macro,2.00091E+6
design__instance__count__class:input_pad,14
design__instance__area__class:input_pad,367500
design__instance__count__class:input_output_pad,42
design__instance__area__class:input_output_pad,1.1025E+6
design__instance__count__class:power_pad,18
design__instance__area__class:power_pad,472500
design__instance__count__class:tie_cell,304
design__instance__area__class:tie_cell,2669.36
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,21
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,1044
design__instance__area__class:pad_spacer,3.3285E+6
design__instance__count__class:endcap_cell,2890
design__instance__area__class:endcap_cell,516771
flow__warnings__count:PAD-0033,2
design__instance__count__class:tap_cell,70777
design__instance__area__class:tap_cell,310739
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,53217
design__violations,0
design__instance__count__class:timing_repair_buffer,19
design__instance__area__class:timing_repair_buffer,1347.85
flow__warnings__count:STA-1140,42
flow__warnings__count:CTS-0041,1
flow__warnings__count:CTS-0082,1
flow__warnings__count:CTS-0083,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,837
global_route__wirelength,50131
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,381
route__net__special,58
route__drc_errors__iter:0,33
route__wirelength__iter:0,46082
route__drc_errors__iter:1,13
route__wirelength__iter:1,46095
route__drc_errors__iter:2,5
route__wirelength__iter:2,46097
route__drc_errors__iter:3,0
route__wirelength__iter:3,46108
route__drc_errors,0
route__wirelength,46108
route__vias,664
route__vias__singlecut,664
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2864.43
design__instance__count__class:fill_cell,145148
design__instance__area__class:fill_cell,1.05537E+7
timing__unannotated_net__count__corner:nom_tt_025C_5v00,4619
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,4619
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,4619
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,4619
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,4619
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,4619
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,4619
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,4619
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,4619
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,4619
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.00000325629
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00000328653
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,1.63471E-8
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00000328653
design_powergrid__voltage__worst,0.00000328653
design_powergrid__voltage__worst__net:VDD,5
design_powergrid__drop__worst,0.00000328653
design_powergrid__drop__worst__net:VDD,0.00000325629
design_powergrid__voltage__worst__net:VSS,0.00000328653
design_powergrid__drop__worst__net:VSS,0.00000328653
ir__voltage__worst,5
ir__drop__avg,2.1699999999999999097443365426822470265477704742806963622570037841796875E-8
