Metric,Value
flow__warnings__count:EST-0026,1001
antenna_diodes_count,17
design__instance__count__class:antenna_cell,21
design__instance__area__class:antenna_cell,92.1984
route__net,51941
route__net__special,2
route__drc_errors__iter:0,329
route__wirelength__iter:0,3191803
route__drc_errors__iter:1,47
route__wirelength__iter:1,3191619
route__drc_errors__iter:2,51
route__wirelength__iter:2,3191590
route__drc_errors__iter:3,4
route__wirelength__iter:3,3191598
route__drc_errors__iter:4,4
route__wirelength__iter:4,3191598
route__drc_errors__iter:5,0
route__wirelength__iter:5,3191614
route__drc_errors__iter:6,117
route__wirelength__iter:6,3190332
route__drc_errors__iter:7,106
route__wirelength__iter:7,3190359
route__drc_errors__iter:8,88
route__wirelength__iter:8,3190365
route__drc_errors__iter:9,81
route__wirelength__iter:9,3190451
route__drc_errors__iter:10,70
route__wirelength__iter:10,3190631
route__drc_errors__iter:11,66
route__wirelength__iter:11,3190682
route__drc_errors__iter:12,66
route__wirelength__iter:12,3190734
route__drc_errors__iter:13,37
route__wirelength__iter:13,3191229
route__drc_errors__iter:14,34
route__wirelength__iter:14,3191305
route__drc_errors__iter:15,33
route__wirelength__iter:15,3191324
route__drc_errors__iter:16,32
route__wirelength__iter:16,3191342
route__drc_errors__iter:17,48
route__wirelength__iter:17,3190881
route__drc_errors__iter:18,33
route__wirelength__iter:18,3190868
route__drc_errors__iter:19,30
route__wirelength__iter:19,3190869
route__drc_errors__iter:20,26
route__wirelength__iter:20,3190961
route__drc_errors__iter:21,26
route__wirelength__iter:21,3190948
route__drc_errors__iter:22,8
route__wirelength__iter:22,3191427
route__drc_errors__iter:23,8
route__wirelength__iter:23,3191428
route__drc_errors__iter:24,8
route__wirelength__iter:24,3191427
route__drc_errors__iter:25,16
route__wirelength__iter:25,3191425
route__drc_errors__iter:26,9
route__wirelength__iter:26,3191425
route__drc_errors__iter:27,9
route__wirelength__iter:27,3191425
route__drc_errors__iter:28,1
route__wirelength__iter:28,3191421
route__drc_errors__iter:29,1
route__wirelength__iter:29,3191421
route__drc_errors__iter:30,0
route__wirelength__iter:30,3191421
route__drc_errors,0
route__wirelength,3191614
route__vias,403222
route__vias__singlecut,403222
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1459.49
design__instance__count__class:fill_cell,55547
design__instance__area__class:fill_cell,809825
timing__unannotated_net__count__corner:nom_tt_025C_5v00,147
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,147
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,147
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,65
design__max_cap_violation__count__corner:min_tt_025C_5v00,12
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.636860804341061
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.7412373147301398
timing__hold__ws__corner:min_tt_025C_5v00,0.32963321893965036
timing__setup__ws__corner:min_tt_025C_5v00,7.949685579279419
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.329633
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,15.959384
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,147
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,4
design__max_fanout_violation__count__corner:min_ss_125C_4v50,65
design__max_cap_violation__count__corner:min_ss_125C_4v50,13
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.8925080926934111
clock__skew__worst_setup__corner:min_ss_125C_4v50,1.0845520344337902
timing__hold__ws__corner:min_ss_125C_4v50,0.8548966221352499
timing__setup__ws__corner:min_ss_125C_4v50,1.914791934762405
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,0.854897
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,3.749634
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,147
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,65
design__max_cap_violation__count__corner:min_ff_n40C_5v50,12
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.5130404024602987
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.5815456059092289
timing__hold__ws__corner:min_ff_n40C_5v50,0.10513012979950814
timing__setup__ws__corner:min_ff_n40C_5v50,10.589486920406666
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.105130
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,19.222565
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,147
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,65
design__max_cap_violation__count__corner:max_tt_025C_5v00,161
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.7562475304475897
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.897338229120951
timing__hold__ws__corner:max_tt_025C_5v00,0.3398508237688542
timing__setup__ws__corner:max_tt_025C_5v00,7.688246701333012
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.339851
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,15.495097
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,147
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,785
design__max_fanout_violation__count__corner:max_ss_125C_4v50,65
design__max_cap_violation__count__corner:max_ss_125C_4v50,170
clock__skew__worst_hold__corner:max_ss_125C_4v50,-1.1048913208201574
clock__skew__worst_setup__corner:max_ss_125C_4v50,1.349929095604527
timing__hold__ws__corner:max_ss_125C_4v50,0.8725109770529107
timing__setup__ws__corner:max_ss_125C_4v50,1.4556569694973986
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.872511
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,1.931497
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,147
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
