Metric,Value
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,36
design__instance__count__class:antenna_cell,70
design__instance__area__class:antenna_cell,307.328
route__net,48551
route__net__special,2
route__drc_errors__iter:0,26
route__wirelength__iter:0,3136962
route__drc_errors__iter:1,3
route__wirelength__iter:1,3136948
route__drc_errors__iter:2,0
route__wirelength__iter:2,3136946
route__drc_errors__iter:3,0
route__wirelength__iter:3,3136933
route__drc_errors__iter:4,0
route__wirelength__iter:4,3136839
route__drc_errors__iter:5,242
route__wirelength__iter:5,3136597
route__drc_errors__iter:6,37
route__wirelength__iter:6,3136499
route__drc_errors__iter:7,32
route__wirelength__iter:7,3136506
route__drc_errors__iter:8,32
route__wirelength__iter:8,3136506
route__drc_errors__iter:9,1
route__wirelength__iter:9,3136291
route__drc_errors__iter:10,1
route__wirelength__iter:10,3136288
route__drc_errors__iter:11,0
route__wirelength__iter:11,3136291
route__drc_errors,0
route__wirelength,3136946
route__vias,400008
route__vias__singlecut,400008
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1788.18
design__instance__count__class:fill_cell,40427
design__instance__area__class:fill_cell,480424
timing__unannotated_net__count__corner:nom_tt_025C_5v00,378
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,378
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,378
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,311
design__max_fanout_violation__count__corner:min_tt_025C_5v00,1
design__max_cap_violation__count__corner:min_tt_025C_5v00,310
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.7133422943136929
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.835828985237253
timing__hold__ws__corner:min_tt_025C_5v00,0.2764808460432594
timing__setup__ws__corner:min_tt_025C_5v00,5.417575874586539
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.276481
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,5.417576
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,378
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,7884
design__max_fanout_violation__count__corner:min_ss_125C_4v50,1
design__max_cap_violation__count__corner:min_ss_125C_4v50,325
clock__skew__worst_hold__corner:min_ss_125C_4v50,-1.0721570601471113
clock__skew__worst_setup__corner:min_ss_125C_4v50,1.2886683196407673
timing__hold__ws__corner:min_ss_125C_4v50,0.4456386497067512
timing__setup__ws__corner:min_ss_125C_4v50,-6.209671175245489
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,-7262.556415151925
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,-6.209671175245489
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,0.766532
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,3146
timing__setup_r2r__ws__corner:min_ss_125C_4v50,-6.209671
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,3146
timing__unannotated_net__count__corner:min_ss_125C_4v50,378
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,3
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,1
design__max_cap_violation__count__corner:min_ff_n40C_5v50,303
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.5536119497304323
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.6337269777208209
timing__hold__ws__corner:min_ff_n40C_5v50,0.06736078552278017
timing__setup__ws__corner:min_ff_n40C_5v50,9.398644795124433
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.067361
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,10.526374
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
